LUT                 A                   D                   Margin              
1                   -8                  -6                  7.570142427133717   
1                   -7                  -6                  7.250241978623272   
1                   -6                  -6                  6.8648012861632495  
1                   -5                  -6                  7.80066391996403    
1                   -4                  -6                  7.693883834446538   
1                   -3                  -6                  7.863546064423588   
1                   -2                  -6                  7.010244062470463   
1                   -1                  -6                  6.335042551621491   
1                   0                   -6                  7.190854291045312   
1                   1                   -6                  7.478047589385156   
1                   3                   -6                  6.567415950255928   
1                   4                   -6                  6.788576005401531   
1                   5                   -6                  6.399269472945399   
1                   6                   -6                  6.7163930167427495  
1                   7                   -6                  5.025050731749886   
1                   8                   -6                  4.7409772997792174  
1                   9                   -6                  4.304532814247516   
1                   10                  -6                  7.491699895415607   
1                   -3                  -8                  7.653301201029542   
1                   -3                  -7                  7.521653525581833   
1                   -3                  -6                  7.6144045576476245  
1                   -3                  -5                  7.799942079377402   
1                   -3                  -4                  7.7034446319870895  
1                   -3                  -3                  7.7773405818523855  
1                   -3                  -2                  8.068418148008185   
1                   -3                  -1                  7.834331556256167   
1                   -3                  0                   7.761712343021031   
1                   -3                  1                   7.823591753770394   
1                   -3                  2                   7.921428944772529   
1                   -3                  3                   7.618358767540272   
1                   -3                  4                   7.478611604472427   
1                   -3                  5                   7.602687841731672   
1                   -3                  6                   7.444137541184681   
1                   -3                  8                   7.672475079619531   
1                   -3                  9                   6.7936550964879245  
1                   -3                  10                  7.3870791181944995  
1                   -3                  11                  6.905064820664656   
1                   -3                  12                  7.2688748230504245  
1                   -3                  13                  6.8442203799125     
2                   -8                  7                   7.633893231475      
2                   -7                  7                   7.340648394254302   
2                   -6                  7                   7.493223872235497   
2                   -5                  7                   6.904396241921994   
2                   -4                  7                   5.910097001495281   
2                   -3                  7                   7.594701031767968   
2                   -2                  7                   7.694963477638915   
2                   -1                  7                   8.003722294184968   
2                   0                   7                   7.530741747198817   
2                   1                   7                   7.258245507667446   
2                   2                   7                   7.038254440433413   
2                   3                   7                   6.115915008980075   
2                   4                   7                   6.636754948789246   
2                   5                   7                   6.443361161651531   
2                   6                   7                   5.989934186064843   
2                   7                   7                   6.339247784291018   
2                   8                   7                   6.568926918061294   
2                   9                   7                   6.116137215969431   
2                   10                  7                   6.671672452208902   
2                   11                  7                   5.029986826736803   
2                   12                  7                   6.465427730521917   
2                   13                  7                   8.237711201886093   
2                   14                  7                   8.665743164137147   
2                   15                  7                   6.560347994044548   
2                   14                  -2                  8.726521801038793   
2                   14                  -1                  8.445383014202875   
2                   14                  0                   7.73097929438741    
2                   14                  2                   7.954152325713281   
2                   14                  3                   8.421560546565928   
2                   14                  4                   8.265954850616374   
2                   14                  5                   8.587033980230089   
2                   14                  6                   8.310861059227278   
2                   14                  7                   8.006729625629468   
2                   14                  8                   8.392503387118886   
2                   14                  9                   7.917874554717187   
2                   14                  10                  8.293235746751087   
2                   14                  11                  8.667429103692612   
