2022-02-07 153903
TX1 = 758000000.0 TX1 = 783000000.0 RX1 = 730500000.0 RX2 = 725500000.0
Rx_Gain = 151.4

TX1 OFF, TX2 OFF
Time                          RxTemp              A_RX1               A_RX2               B_RX1               B_RX2               
2022-02-07 15:41:19           27.5                -104.96             -105.16             -105.07             -105.24             
2022-02-07 15:41:19           27.5                -104.99             -105.18             -105.08             -105.3              
2022-02-07 15:41:20           27.5                -104.97             -105.19             -105.03             -105.25             
2022-02-07 15:41:21           27.5                -104.94             -105.16             -105.07             -105.21             
2022-02-07 15:41:22           27.5                -105.0              -105.23             -105.08             -105.31             
2022-02-07 15:41:23           27.5                -105.01             -105.15             -105.09             -105.22             
2022-02-07 15:41:25           27.5                -104.98             -105.21             -105.08             -105.26             
2022-02-07 15:41:25           27.5                -104.96             -105.17             -105.07             -105.29             
2022-02-07 15:41:27           27.5                -104.97             -105.19             -105.1              -105.26             
2022-02-07 15:41:27           27.5                -105.0              -105.22             -105.1              -105.23             

A_RX1_AVE           A_RX2_AVE           B_RX1_AVE           B_RX2_AVE           
-104.978            -105.186            -105.077            -105.25699999999999 


TX1 ON, TX2 ON
TX_power_A=-8.66                TX_power_B=-8.58               
Time                          RxTemp              A_RX1               A_RX2               B_RX1               B_RX2               
2022-02-07 15:42:56           28.5                -82.26              -83.89              -72.29              -75.12              
2022-02-07 15:42:56           28.5                -82.21              -83.86              -72.29              -75.12              
2022-02-07 15:42:57           28.5                -82.25              -83.89              -72.28              -75.11              
2022-02-07 15:42:57           28.5                -82.24              -83.88              -72.28              -75.11              
2022-02-07 15:42:58           28.5                -82.26              -83.89              -72.28              -75.11              
2022-02-07 15:42:59           28.5                -82.27              -83.91              -72.28              -75.11              
2022-02-07 15:42:59           28.5                -82.29              -83.91              -72.28              -75.11              
2022-02-07 15:43:00           28.5                -82.31              -83.91              -72.28              -75.11              
2022-02-07 15:43:01           28.5                -82.27              -83.91              -72.28              -75.11              
2022-02-07 15:43:01           28.5                -82.32              -83.93              -72.28              -75.11              
2022-02-07 15:43:02           28.5                -82.3               -83.93              -72.28              -75.11              
2022-02-07 15:43:03           28.5                -82.36              -83.96              -72.28              -75.11              
2022-02-07 15:43:03           28.5                -82.33              -83.95              -72.28              -75.11              
2022-02-07 15:43:04           28.5                -82.36              -83.98              -72.28              -75.11              
2022-02-07 15:43:04           28.5                -82.42              -84.0               -72.28              -75.11              
2022-02-07 15:43:05           28.5                -82.37              -83.99              -72.28              -75.11              
2022-02-07 15:43:06           28.5                -82.37              -83.98              -72.28              -75.11              
2022-02-07 15:43:06           28.5                -82.39              -84.0               -72.27              -75.1               
2022-02-07 15:43:07           28.5                -82.39              -84.0               -72.28              -75.11              
2022-02-07 15:43:08           28.5                -82.46              -84.05              -72.28              -75.11              
2022-02-07 15:43:08           28.5                -82.35              -83.98              -72.28              -75.11              
2022-02-07 15:43:09           28.5                -82.41              -84.0               -72.28              -75.11              
2022-02-07 15:43:10           28.5                -82.43              -84.03              -72.28              -75.11              
2022-02-07 15:43:10           28.5                -82.39              -84.0               -72.28              -75.11              
2022-02-07 15:43:11           28.5                -82.42              -84.02              -72.27              -75.1               
2022-02-07 15:43:12           28.5                -82.4               -84.01              -72.27              -75.1               
2022-02-07 15:43:12           28.5                -82.4               -84.02              -72.27              -75.1               
2022-02-07 15:43:13           28.5                -82.36              -84.0               -72.27              -75.1               
2022-02-07 15:43:13           28.5                -82.41              -84.04              -72.28              -75.1               
2022-02-07 15:43:14           28.5                -82.38              -84.03              -72.27              -75.1               
2022-02-07 15:43:15           28.5                -82.37              -84.03              -72.28              -75.11              
2022-02-07 15:43:15           28.5                -82.4               -84.05              -72.28              -75.11              
2022-02-07 15:43:16           28.5                -82.36              -84.04              -72.27              -75.1               
2022-02-07 15:43:17           28.5                -82.38              -84.05              -72.27              -75.11              
2022-02-07 15:43:17           28.5                -82.35              -84.03              -72.28              -75.11              
2022-02-07 15:43:18           28.5                -82.33              -84.02              -72.27              -75.09              
2022-02-07 15:43:19           28.5                -82.31              -84.03              -72.27              -75.1               
2022-02-07 15:43:19           28.5                -82.27              -84.03              -72.27              -75.1               
2022-02-07 15:43:20           28.5                -82.33              -84.04              -72.27              -75.1               
2022-02-07 15:43:21           28.5                -82.3               -84.03              -72.27              -75.1               
2022-02-07 15:43:21           28.5                -82.32              -84.03              -72.27              -75.1               
2022-02-07 15:43:22           28.5                -82.32              -84.03              -72.26              -75.09              
2022-02-07 15:43:22           28.5                -82.27              -84.0               -72.25              -75.09              
2022-02-07 15:43:23           28.5                -82.28              -84.0               -72.27              -75.1               
2022-02-07 15:43:23           28.5                -82.26              -83.98              -72.27              -75.1               
2022-02-07 15:43:24           28.5                -82.28              -84.0               -72.27              -75.1               
2022-02-07 15:43:25           28.5                -82.3               -84.06              -72.27              -75.1               
2022-02-07 15:43:25           28.5                -82.3               -84.09              -72.27              -75.11              
2022-02-07 15:43:26           28.5                -82.28              -84.07              -72.27              -75.1               
2022-02-07 15:43:27           28.5                -82.37              -84.09              -72.28              -75.1               
2022-02-07 15:43:27           28.5                -82.35              -84.1               -72.27              -75.1               
2022-02-07 15:43:28           28.5                -82.39              -84.11              -72.27              -75.1               
2022-02-07 15:43:29           28.5                -82.32              -84.06              -72.27              -75.1               
2022-02-07 15:43:29           28.5                -82.45              -84.14              -72.27              -75.1               
2022-02-07 15:43:30           28.5                -82.36              -84.09              -72.28              -75.1               
2022-02-07 15:43:30           28.5                -82.34              -84.08              -72.27              -75.1               
2022-02-07 15:43:31           28.5                -82.36              -84.09              -72.28              -75.11              
2022-02-07 15:43:32           28.5                -82.36              -84.08              -72.27              -75.1               
2022-02-07 15:43:32           28.5                -82.33              -84.06              -72.27              -75.1               
2022-02-07 15:43:33           28.5                -82.25              -84.03              -72.28              -75.11              
2022-02-07 15:43:33           28.5                -82.23              -84.01              -72.27              -75.1               
2022-02-07 15:43:34           28.5                -82.41              -84.15              -72.28              -75.11              
2022-02-07 15:43:35           28.5                -82.28              -84.06              -72.28              -75.11              
2022-02-07 15:43:35           28.5                -82.28              -84.06              -72.27              -75.1               
2022-02-07 15:43:36           28.5                -82.27              -84.06              -72.27              -75.1               
2022-02-07 15:43:36           28.5                -82.23              -84.06              -72.27              -75.1               
2022-02-07 15:43:37           28.5                -82.27              -84.08              -72.27              -75.1               
2022-02-07 15:43:38           28.5                -82.3               -84.09              -72.27              -75.1               
2022-02-07 15:43:38           28.5                -82.25              -84.06              -72.27              -75.1               
2022-02-07 15:43:39           28.5                -82.29              -84.1               -72.27              -75.1               
2022-02-07 15:43:40           28.5                -82.31              -84.11              -72.28              -75.11              
2022-02-07 15:43:40           28.5                -82.23              -84.13              -72.27              -75.1               
2022-02-07 15:43:41           28.5                -82.21              -84.06              -72.27              -75.1               
2022-02-07 15:43:42           28.5                -82.22              -84.05              -72.27              -75.1               
2022-02-07 15:43:42           28.5                -82.19              -84.05              -72.27              -75.1               
2022-02-07 15:43:43           28.5                -82.17              -84.06              -72.27              -75.1               
2022-02-07 15:43:43           28.5                -82.23              -84.08              -72.27              -75.1               
2022-02-07 15:43:44           28.5                -82.33              -84.15              -72.27              -75.1               
2022-02-07 15:43:44           28.5                -82.33              -84.15              -72.27              -75.1               
2022-02-07 15:43:45           28.5                -82.33              -84.16              -72.27              -75.1               
2022-02-07 15:43:46           28.5                -82.33              -84.16              -72.27              -75.1               
2022-02-07 15:43:46           28.5                -82.36              -84.17              -72.28              -75.11              
2022-02-07 15:43:46           28.5                -82.32              -84.15              -72.27              -75.1               
2022-02-07 15:43:47           28.5                -82.33              -84.15              -72.27              -75.1               
2022-02-07 15:43:47           28.5                -82.3               -84.13              -72.27              -75.1               
2022-02-07 15:43:48           28.5                -82.26              -84.11              -72.27              -75.1               
2022-02-07 15:43:49           28.5                -82.3               -84.13              -72.27              -75.1               
2022-02-07 15:43:49           28.5                -82.3               -84.14              -72.26              -75.09              
2022-02-07 15:43:50           28.5                -82.3               -84.14              -72.26              -75.09              
2022-02-07 15:43:50           29                  -82.3               -84.14              -72.26              -75.09              
2022-02-07 15:43:51           29                  -82.29              -84.12              -72.26              -75.09              
2022-02-07 15:43:51           29                  -82.3               -84.14              -72.26              -75.09              
2022-02-07 15:43:51           29                  -82.3               -84.13              -72.26              -75.09              
2022-02-07 15:43:52           29                  -82.29              -84.14              -72.26              -75.09              
2022-02-07 15:43:52           29                  -82.33              -84.17              -72.26              -75.09              
2022-02-07 15:43:53           29                  -82.32              -84.15              -72.24              -75.08              
2022-02-07 15:43:53           29                  -82.28              -84.13              -72.24              -75.07              
2022-02-07 15:43:54           29                  -82.29              -84.13              -72.24              -75.07              
2022-02-07 15:43:54           29                  -82.27              -84.12              -72.24              -75.07              
2022-02-07 15:43:55           29                  -82.28              -84.13              -72.24              -75.07              
2022-02-07 15:43:55           29                  -82.29              -84.12              -72.24              -75.07              
2022-02-07 15:43:56           29                  -82.26              -84.11              -72.24              -75.07              
2022-02-07 15:43:56           29                  -82.28              -84.12              -72.24              -75.08              
2022-02-07 15:43:57           29                  -82.28              -84.11              -72.24              -75.07              
2022-02-07 15:43:57           29                  -82.28              -84.11              -72.24              -75.07              
2022-02-07 15:43:58           29                  -82.27              -84.11              -72.24              -75.07              
2022-02-07 15:43:58           29                  -82.27              -84.12              -72.24              -75.07              
2022-02-07 15:43:59           29                  -82.29              -84.12              -72.24              -75.07              
2022-02-07 15:43:59           29                  -82.26              -84.1               -72.24              -75.07              
2022-02-07 15:44:00           29                  -82.26              -84.11              -72.24              -75.07              
2022-02-07 15:44:00           29                  -82.24              -84.1               -72.23              -75.07              
2022-02-07 15:44:01           29                  -82.25              -84.09              -72.24              -75.07              
2022-02-07 15:44:01           29                  -82.25              -84.1               -72.25              -75.08              
2022-02-07 15:44:02           29                  -82.23              -84.08              -72.24              -75.07              
2022-02-07 15:44:03           29                  -82.25              -84.11              -72.24              -75.08              
2022-02-07 15:44:03           29                  -82.13              -84.01              -72.24              -75.07              
2022-02-07 15:44:04           29                  -82.17              -84.04              -72.24              -75.07              
2022-02-07 15:44:04           29                  -82.09              -83.99              -72.24              -75.07              
2022-02-07 15:44:05           29                  -82.11              -83.98              -72.24              -75.07              
2022-02-07 15:44:05           29                  -82.02              -83.95              -72.24              -75.07              
2022-02-07 15:44:06           29                  -82.05              -84.01              -72.24              -75.08              
2022-02-07 15:44:06           29                  -82.12              -84.07              -72.24              -75.07              
2022-02-07 15:44:07           29                  -82.22              -84.07              -72.24              -75.07              
2022-02-07 15:44:07           29                  -82.26              -84.11              -72.24              -75.07              
2022-02-07 15:44:08           29                  -82.25              -84.1               -72.24              -75.07              
2022-02-07 15:44:08           29                  -82.25              -84.1               -72.24              -75.08              
2022-02-07 15:44:09           29                  -82.25              -84.1               -72.24              -75.07              
2022-02-07 15:44:10           29                  -82.24              -84.09              -72.24              -75.07              
2022-02-07 15:44:10           29                  -82.24              -84.09              -72.24              -75.07              
2022-02-07 15:44:11           29                  -82.25              -84.09              -72.24              -75.07              
2022-02-07 15:44:11           29                  -82.21              -84.07              -72.23              -75.07              
2022-02-07 15:44:12           29                  -82.23              -84.09              -72.24              -75.07              
2022-02-07 15:44:12           29                  -82.26              -84.11              -72.24              -75.07              
2022-02-07 15:44:13           29                  -82.27              -84.12              -72.24              -75.07              
2022-02-07 15:44:13           29                  -82.23              -84.08              -72.24              -75.07              
2022-02-07 15:44:14           29                  -82.25              -84.1               -72.25              -75.08              
2022-02-07 15:44:15           29.5                -82.25              -84.12              -72.3               -75.14              
2022-02-07 15:44:15           29.5                -82.26              -84.12              -72.3               -75.14              
2022-02-07 15:44:16           29.5                -82.27              -84.12              -72.3               -75.13              
2022-02-07 15:44:16           29.5                -82.27              -84.13              -72.3               -75.13              
2022-02-07 15:44:17           29.5                -82.25              -84.11              -72.3               -75.14              
2022-02-07 15:44:17           29.5                -82.22              -84.09              -72.3               -75.13              
2022-02-07 15:44:18           29.5                -82.21              -84.07              -72.28              -75.12              
