2022-02-07 153041
TX1 = 758000000.0 TX1 = 783000000.0 RX1 = 730500000.0 RX2 = 725500000.0
Rx_Gain = 151.4

TX1 OFF, TX2 OFF
Time                          RxTemp              A_RX1               A_RX2               B_RX1               B_RX2               
2022-02-07 15:32:57           24.5                -105.09             -105.3              -105.16             -105.35             
2022-02-07 15:32:58           24.5                -105.06             -105.31             -105.16             -105.31             
2022-02-07 15:32:59           24.5                -105.08             -105.3              -105.2              -105.33             
2022-02-07 15:33:00           24.5                -105.06             -105.31             -105.19             -105.39             
2022-02-07 15:33:01           24.5                -105.08             -105.34             -105.15             -105.36             
2022-02-07 15:33:02           24.5                -105.1              -105.27             -105.21             -105.36             
2022-02-07 15:33:03           24.5                -105.09             -105.32             -105.15             -105.34             
2022-02-07 15:33:04           24.5                -105.11             -105.28             -105.18             -105.3              
2022-02-07 15:33:05           24.5                -105.09             -105.32             -105.14             -105.39             
2022-02-07 15:33:06           24.5                -105.1              -105.32             -105.18             -105.34             

A_RX1_AVE           A_RX2_AVE           B_RX1_AVE           B_RX2_AVE           
-105.08599999999998 -105.30699999999999 -105.172            -105.34700000000001 


TX1 ON, TX2 ON
TX_power_A=-8.65                TX_power_B=-8.66               
Time                          RxTemp              A_RX1               A_RX2               B_RX1               B_RX2               
2022-02-07 15:33:43           25.5                -81.84              -83.61              -72.18              -75.01              
2022-02-07 15:33:44           25.5                -81.82              -83.6               -72.19              -75.02              
2022-02-07 15:33:45           25.5                -81.78              -83.57              -72.19              -75.02              
2022-02-07 15:33:45           25.5                -81.77              -83.57              -72.2               -75.02              
2022-02-07 15:33:46           25.5                -81.76              -83.56              -72.21              -75.03              
2022-02-07 15:33:47           25.5                -81.74              -83.56              -72.21              -75.04              
2022-02-07 15:33:47           25.5                -81.8               -83.59              -72.22              -75.04              
2022-02-07 15:33:48           25.5                -81.8               -83.59              -72.23              -75.05              
2022-02-07 15:33:49           25.5                -81.76              -83.57              -72.22              -75.05              
2022-02-07 15:33:49           25.5                -81.74              -83.54              -72.23              -75.05              
2022-02-07 15:33:50           25.5                -81.79              -83.59              -72.23              -75.05              
2022-02-07 15:33:51           25.5                -81.78              -83.57              -72.23              -75.06              
2022-02-07 15:33:51           25.5                -81.78              -83.58              -72.23              -75.06              
2022-02-07 15:33:52           25.5                -81.82              -83.6               -72.24              -75.06              
2022-02-07 15:33:53           25.5                -81.83              -83.61              -72.24              -75.06              
2022-02-07 15:33:53           25.5                -81.81              -83.59              -72.25              -75.07              
2022-02-07 15:33:54           25.5                -81.83              -83.61              -72.25              -75.07              
2022-02-07 15:33:55           25.5                -81.84              -83.62              -72.25              -75.07              
2022-02-07 15:33:55           25.5                -81.82              -83.62              -72.25              -75.07              
